Transaction_ID,Customer_Name,Customer_Age
1,Lalita Ahuja,38
2,Sneha Sharma,37
3,Radha Srivastava,40
4,Bhavana Arora,21
5,Sneha Mehta,38
6,Reena Mehta,38
7,Pankaj Alva,18
8,Mala Rawat,32
9,Pankaj Varma,34
10,Yogesh Sharma,31
11,Radha Sharma,36
12,Namita Roy,51
13,Ramesh Joshi,23
14,Arun Iyer,23
15,Manoj Siddiqui,22
16,Anjali Gupta,24
17,Ramesh Rao,50
18,Anand Pillai,30
19,Kiran Rawat,18
20,Harish Kaur,30
21,Manoj Luthra,44
22,Jyoti Roy,24
23,Rajesh Sheth,20
24,Mala Ghosh,42
25,Reena Teja,50
26,Bhavana Dutta,57
27,Yogesh Ahuja,34
28,Isha Desai,31
29,Tapan Shah,54
30,Vinod Pathak,40
31,Bhavana Siddiqui,41
32,Meena Mathur,46
33,Sumit Pillai,55
34,Vinod Dutta,44
35,Shruti Bhatnagar,55
36,Pankaj Shah,57
37,Deepika Verma,40
38,Sanjay Joshi,48
39,Umesh Goyal,53
40,Rajesh Verma,34
41,Pooja Rao,54
42,Jyoti Mishra,20
43,Sachin Desai,53
44,Manoj Jain,22
45,Deepika Shah,32
46,Priyanka Pillai,23
47,Pooja Arora,27
48,Tanuja Prasad,49
49,Monika Thakur,40
50,Anand Nair,34
51,Vinod Kaur,37
52,Yogesh Roy,58
53,Krishna Mehta,32
54,Mala Malhotra,39
55,Sunita Thakur,23
56,Kavita Sheth,21
57,Anjali Roy,40
58,Shruti Dutta,36
59,Devendra Jain,48
60,Jyoti Bhattacharya,20
61,Kavita Srivastava,45
62,Radha Mathur,20
63,Lata Shah,31
64,Sumit Ghosh,35
65,Tanuja Dutta,44
66,Ramesh Kumar,27
67,Sunil Luthra,32
68,Kavita Solanki,36
69,Meena Thakur,26
70,Pooja Reddy,21
71,Ayesha Ghosh,32
72,Yogesh Ahuja,25
73,Nikhil Bhattacharya,18
74,Sunil Das,24
75,Shruti Iyer,48
76,Sunita Arora,35
77,Deepika Deshmukh,29
78,Kiran Malhotra,47
79,Bina Mishra,50
80,Monika Srivastava,24
81,Prashant Dutta,45
82,Vinod Pathak,20
83,Sunil Luthra,23
84,Sunil Kapoor,48
85,Namita Roy,55
86,Sneha Mishra,32
87,Sanjay Bhattacharya,24
88,Sneha Rao,47
89,Namita Bhatnagar,44
90,Pooja Roy,34
91,Devendra Jain,35
92,Neeta Sharma,39
93,Sumit Sheth,43
94,Bina Deshmukh,44
95,Ravi Arora,57
96,Anjali Pathak,41
97,Rajesh Menon,25
98,Reena Chatterjee,38
99,Nikhil Pathak,46
100,Krishna Bhattacharya,38
101,Ayesha Thakur,20
102,Bina Nair,48
103,Krishna Malhotra,44
104,Mala Das,44
105,Anita Bhattacharya,26
106,Nikhil Solanki,50
107,Shruti Bhatnagar,50
108,Kiran Goyal,43
109,Kiran Prasad,45
110,Sunil Jain,48
111,Manoj Rathod,18
112,Tapan Gupta,37
113,Anjali Pathak,29
114,Isha Desai,34
115,Vinod Goyal,32
116,Krishna Rathod,51
117,Jyoti Alva,33
118,Pankaj Mehta,21
119,Anjali Srivastava,25
120,Anita Pathak,51
121,Arun Verma,42
122,Yogesh Luthra,32
123,Sachin Joshi,45
124,Sumit Arora,26
125,Sunil Rawat,19
126,Pankaj Desai,34
127,Kiran Solanki,27
128,Prashant Luthra,26
129,Meena Mathur,48
130,Kavita Patel,19
131,Sanjay Pathak,41
132,Ravi Ghosh,36
133,Vinod Joshi,34
134,Tanuja Goyal,27
135,Pankaj Desai,45
136,Isha Desai,55
137,Krishna Jain,45
138,Tanuja Mathur,18
139,Anand Kapoor,20
140,Neeta Kulkarni,32
141,Sachin Varma,27
142,Sumit Verma,38
143,Kavita Jain,54
144,Reena Bhatnagar,32
145,Anjali Ahuja,40
146,Prashant Teja,31
147,Rajesh Kaur,32
148,Anita Prasad,27
149,Mala Teja,26
